"Date","Channel","Lpc","Leq","Lz","alpha","Filename"
"3/16/2023","A1",-0.00420692465429309,-0.00486765327695567,-0.00486765327695567,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","A2",-0.000655970295094762,0.00089425087108011,0.00089425087108011,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","A3",-1.66363283697696e-05,9.77135040062315e-05,0.00023728813559332,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","A4",-0.00163029076186975,-0.00185112781954887,-0.00276976744186043,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","A5",-6.66122096696945e-05,-0.000319163763066201,-0.000319163763066201,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","A6",-0.000203125987935996,-0.000203125987935996,-0.000316055781809242,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","B1",-0.00106502037288552,-0.000968221317325015,-0.000968221317325015,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","B2",4.60666194188854e-05,4.60666194188854e-05,0.000621181427761106,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","B3",-0.0043041251778094,-0.00238297872340425,-0.00233375616631429,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","B4",-0.0027000228937729,-0.0027000228937729,-0.00094553654024053,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","B5",0.000437951242381658,0.000437951242381658,0.000911407342657375,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","B6",-0.00240250792075434,-0.00255796703296698,-0.00224994572297019,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","C1",-0.00148427989633468,-0.00157469316189368,-0.00157469316189368,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","C2",0.0013226510331773,0.000980245470485073,0.00118366271409759,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","C3",-0.00376382204121933,-0.00414625500285884,-0.00414625500285884,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","C4",-0.000435613437195772,-0.000435613437195772,-0.000859389454209052,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","C5",0.000737089201877973,0.000737089201877973,0.00105111989459807,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","C6",-0.00108322057689149,-0.00108322057689149,-0.00249907729049081,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","D1",0.00114031448967781,0.00114181757209923,0.00105766550522642,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","D2",-0.00757402126004667,-0.00777422139993835,-0.00613466898954703,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","D3",-0.00391941649899399,-0.00270582793709525,-0.00256933797909401,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","D4",-0.0095337697692507,-0.00953548776804597,-0.00953548776804597,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","D5",-0.00405522399111443,-0.00314634146341464,-0.00314634146341464,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","D6",-0.00611440831074981,-0.00728538866160142,-0.00568340151957923,0.4,"SDR_799_resp_Plate1.csv"
"3/16/2023","A1",-0.00097489610007978,-0.000966464725425064,-0.00130131332082548,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","A2",-0.00386404852860921,-0.005297545295149,-0.00638076109936572,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","A3",-0.006756216816891,-0.00379417206290472,-0.00379417206290472,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","A4",-0.00847560975609758,-0.00985325382421568,-0.00985325382421568,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","A5",-0.00522346661730224,-0.00607058497645494,-0.00602090592334499,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","A6",-0.00456453861927546,-0.00546803751803745,-0.00546803751803745,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","B1",-0.00448908985241801,-0.00717775727312204,-0.00717775727312204,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","B2",-0.00927142022209239,-0.00927142022209239,-0.0117138339920949,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","B3",-0.00149801873833256,-0.00244228329809722,-0.00107589781562386,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","B4",-0.00860766526019689,-0.00954517265680056,-0.00984444444444441,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","B5",-0.00611483053572581,-0.00611483053572581,-0.0057253058909327,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","B6",-0.00568202009518781,-0.00528728797408041,-0.00475087108013943,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","C1",-0.00801162717879138,-0.00843984962406018,-0.00843984962406018,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","C2",-0.00771700201207235,-0.00917810669133515,-0.00917810669133515,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","C3",-0.00109257906272829,-0.00051818112558636,-0.00051818112558636,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","C4",-0.00519834739803093,-0.00519834739803093,-0.00405003523608164,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","C5",-0.0121886357321477,-0.0121886357321477,-0.00587667125840697,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","C6",-0.00704647012509839,-0.0066553829078802,-0.00891316822712171,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","D1",-0.00590224451733226,-0.00506336734693886,-0.00485627177700353,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","D2",-0.00580167964307585,-0.00580167964307585,-0.00743793415886435,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","D3",-0.00441764743713422,-0.00713346508563909,-0.00713346508563909,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","D4",-0.00752807108478339,-0.00868084619782729,-0.00823447425223561,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","D5",-0.0109187788018433,-0.0109187788018433,-0.0119822701688556,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","D6",-0.0188472417623103,-0.0172566761731916,-0.0215619387755102,0.4,"SDR_873_resp_Plate2.csv"
"3/16/2023","A1",-0.00334076146375973,-0.00326459136542354,-0.00326459136542354,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","A2",-0.000518386149640648,-0.000349524754742968,-0.000349524754742968,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","A3",-0.00626331280659634,-0.00700314523589265,-0.00433660525520997,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","A4",-0.00379469086021503,-0.00314967061923588,-0.00314967061923588,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","A5",-0.00115078553160396,-0.000309272123225567,-0.000309272123225567,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","A6",-0.00793179427235534,-0.00743283302063784,-0.00743283302063784,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","B1",-0.00412216633132126,-0.00354669683257916,-0.00354669683257916,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","B2",-0.00629977106227105,-0.00633401324570015,-0.00473999999999998,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","B3",-0.0144699066133028,-0.00861969981238281,-0.014976532769556,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","B4",-0.00525740055504161,-0.00576538461538458,-0.005972494603762,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","B5",-0.00171896211279773,-0.00171896211279773,-0.00268217636022503,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","B6",-0.00782180944055945,-0.00906115977046207,-0.00906115977046207,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","C1",-0.00699678379416278,-0.0081318367346939,-0.00698589269195205,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","C2",-0.00504301739926743,-0.00294295125164692,-0.00294295125164692,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","C3",-0.00690650183150183,-0.00745595489781536,-0.00745595489781536,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","C4",-0.00424213564213569,-0.00414112027789844,-0.00414112027789844,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","C5",0.000363354037267078,0.000326781147241495,-0.000669512195121976,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","C6",0.00109668737060037,0.00109668737060037,0.00115611044417763,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","D1",-0.00265300993571002,-0.00265300993571002,-0.00309154334038057,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","D2",-0.00594281667699388,-0.00683174069627848,-0.00702495309568485,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","D3",0.000282226762001999,0.000282226762001999,0.000565587419056401,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","D4",-0.0048452120951121,-0.0048452120951121,-0.00727984189723324,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","D5",-0.00837681465821006,-0.00552734693877548,-0.00552734693877548,0.4,"SDR_979_resp_Plate3.csv"
"3/16/2023","D6",-0.00782628118150502,-0.0068687747035573,-0.0068687747035573,0.4,"SDR_979_resp_Plate3.csv"
